trial,scenario,wan_bw,wan_delay_r1,wan_delay_h3,label,expected_bytes,downloaded_bytes,downloaded_fraction,http_code,curl_time_total,curl_exit,success,attempts_to_kill,time_to_close_s
1,off,12.0,20ms,5ms,wan12mbit,3985444,1553410,0.3898,200,1.326170,56,True,1,0.0025606155395507812
2,off,12.0,20ms,5ms,wan12mbit,3985444,1513578,0.3798,200,1.248001,56,True,1,0.0019137859344482422
3,off,12.0,20ms,5ms,wan12mbit,3985444,1375306,0.3451,200,1.158251,56,True,1,0.003546476364135742
4,off,12.0,20ms,5ms,wan12mbit,3985444,1322442,0.3318,200,1.120751,56,True,1,0.0024755001068115234
5,off,12.0,20ms,5ms,wan12mbit,3985444,1197202,0.3004,200,1.026498,56,True,1,0.002571582794189453
6,off,12.0,20ms,5ms,wan12mbit,3985444,1178378,0.2957,200,1.013909,56,True,1,0.0015139579772949219
7,off,12.0,20ms,5ms,wan12mbit,3985444,1158818,0.2908,200,1.005218,56,True,1,0.002894163131713867
8,off,12.0,20ms,5ms,wan12mbit,3985444,1203706,0.302,200,1.029064,56,True,1,0.007833719253540039
9,off,12.0,20ms,5ms,wan12mbit,3985444,1252938,0.3144,200,1.073962,56,True,1,0.00217437744140625
10,off,12.0,20ms,5ms,wan12mbit,3985444,1181274,0.2964,200,1.019518,56,True,2,0.0024869441986083984
11,off,12.0,20ms,5ms,wan12mbit,3985444,1643186,0.4123,200,1.344029,56,True,1,0.0033473968505859375
12,off,12.0,20ms,5ms,wan12mbit,3985444,1352138,0.3393,200,1.162336,56,True,1,0.0014805793762207031
13,off,12.0,20ms,5ms,wan12mbit,3985444,1230506,0.3088,200,1.046546,56,True,1,0.002819538116455078
14,off,12.0,20ms,5ms,wan12mbit,3985444,1210234,0.3037,200,1.040394,56,True,1,0.0028831958770751953
15,off,12.0,20ms,5ms,wan12mbit,3985444,1191410,0.2989,200,1.030089,56,True,1,0.0034952163696289062
16,off,12.0,20ms,5ms,wan12mbit,3985444,1184170,0.2971,200,1.028644,56,True,1,0.0023157596588134766
17,off,12.0,20ms,5ms,wan12mbit,3985444,1199362,0.3009,200,1.034412,56,True,1,0.009007453918457031
18,off,12.0,20ms,5ms,wan12mbit,3985444,1225426,0.3075,200,1.049628,56,True,1,0.0025827884674072266
19,off,12.0,20ms,5ms,wan12mbit,3985444,1368778,0.3434,200,1.151336,56,True,1,0.002688884735107422
20,off,12.0,20ms,5ms,wan12mbit,3985444,1197202,0.3004,200,1.024692,56,True,1,0.002414703369140625
1,on,12.0,20ms,5ms,wan12mbit,3985444,3985444,1.0,200,2.996044,0,False,838,1.963672399520874
2,on,12.0,20ms,5ms,wan12mbit,3985444,3985444,1.0,200,2.987905,0,False,867,1.9965875148773193
3,on,12.0,20ms,5ms,wan12mbit,3985444,3985444,1.0,200,2.981644,0,False,797,1.869253396987915
4,on,12.0,20ms,5ms,wan12mbit,3985444,3985444,1.0,200,2.974424,0,False,829,1.8886990547180176
