trial,scenario,wan_bw,wan_delay_r1,wan_delay_h3,label,expected_bytes,downloaded_bytes,downloaded_fraction,http_code,curl_time_total,curl_exit,success,attempts_to_kill,time_to_close_s
1,off,20.0,20ms,5ms,wan20mbit,3985444,1504178,0.3774,200,0.901009,56,True,2,0.004186153411865234
2,off,20.0,20ms,5ms,wan20mbit,3985444,1533138,0.3847,200,0.869792,56,True,1,0.0018572807312011719
3,off,20.0,20ms,5ms,wan20mbit,3985444,1530954,0.3841,200,0.868177,56,True,1,0.0014290809631347656
4,off,20.0,20ms,5ms,wan20mbit,3985444,1815498,0.4555,200,0.996832,56,True,1,0.0015468597412109375
5,off,20.0,20ms,5ms,wan20mbit,3985444,1876314,0.4708,200,1.012006,56,True,1,0.002621173858642578
6,off,20.0,20ms,5ms,wan20mbit,3985444,1789434,0.449,200,0.974641,56,True,1,0.0024368762969970703
7,off,20.0,20ms,5ms,wan20mbit,3985444,1922650,0.4824,200,1.028388,56,True,1,0.008469343185424805
8,off,20.0,20ms,5ms,wan20mbit,3985444,1607698,0.4034,200,0.897090,56,True,1,0.0053081512451171875
9,off,20.0,20ms,5ms,wan20mbit,3985444,1607698,0.4034,200,0.898266,56,True,1,0.008510351181030273
10,off,20.0,20ms,5ms,wan20mbit,3985444,1569338,0.3938,200,0.882393,56,True,1,0.0040552616119384766
11,off,20.0,20ms,5ms,wan20mbit,3985444,1614226,0.405,200,0.893387,56,True,1,0.003691434860229492
12,off,20.0,20ms,5ms,wan20mbit,3985444,1563546,0.3923,200,0.871864,56,True,1,0.003568887710571289
13,off,20.0,20ms,5ms,wan20mbit,3985444,1691682,0.4245,200,0.926944,56,True,1,0.0011746883392333984
14,off,20.0,20ms,5ms,wan20mbit,3985444,1568602,0.3936,200,0.878573,56,True,1,0.0015938282012939453
15,off,20.0,20ms,5ms,wan20mbit,3985444,1614226,0.405,200,0.891715,56,True,1,0.0021452903747558594
16,off,20.0,20ms,5ms,wan20mbit,3985444,1595402,0.4003,200,0.888493,56,True,1,0.0010094642639160156
17,off,20.0,20ms,5ms,wan20mbit,3985444,1639554,0.4114,200,0.911954,56,True,1,0.003215312957763672
18,off,20.0,20ms,5ms,wan20mbit,3985444,1709058,0.4288,200,0.941970,56,True,1,0.0031807422637939453
19,off,20.0,20ms,5ms,wan20mbit,3985444,1997946,0.5013,200,1.053454,56,True,1,0.0008819103240966797
20,off,20.0,20ms,5ms,wan20mbit,3985444,1845170,0.463,200,0.987852,56,True,1,0.0017006397247314453
1,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.919544,0,False,757,1.0051367282867432
2,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.892249,0,False,668,1.0131158828735352
3,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.883289,0,False,676,0.9135656356811523
4,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.894908,0,False,657,1.0182087421417236
5,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.906226,0,False,667,0.9234282970428467
6,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.889273,0,False,364,0.9862163066864014
7,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.895723,0,False,677,0.9240481853485107
8,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.886416,0,False,618,0.9548795223236084
9,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.890292,0,False,780,1.022629737854004
10,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.887294,0,False,487,0.8117866516113281
11,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.894300,0,False,747,0.9885921478271484
12,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.886818,0,False,649,1.0208940505981445
13,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.896954,0,False,772,1.0100905895233154
14,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.888995,0,False,542,0.9763646125793457
15,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.894429,0,False,628,1.001253366470337
16,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.888647,0,False,700,1.0385565757751465
17,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.892150,0,False,752,1.002336025238037
18,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.906789,0,False,711,1.0469777584075928
19,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.891272,0,False,570,0.9596030712127686
20,on,20.0,20ms,5ms,wan20mbit,3985444,3985444,1.0,200,1.893276,0,False,795,1.0325078964233398
